2026-05-14 09:28:05.149 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:24.457 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:25.477 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:26.407 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:26.420 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:26.501 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:27.528 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:28.557 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:29.428 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:29.429 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:29.563 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:30.593 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:31.631 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:32.442 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:32.443 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:32.642 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:33.662 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:34.686 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:35.477 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:35.478 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:35.714 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:36.743 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:37.749 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:38.495 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:38.496 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:38.771 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:39.781 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:40.797 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:41.514 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:41.514 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:41.822 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:42.847 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:43.866 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:44.520 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:44.521 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:44.873 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:45.884 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:46.904 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:47.545 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:47.545 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:47.908 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:48.926 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:49.937 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:50.544 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:50.574 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:50.959 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:51.971 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:52.994 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:53.570 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:53.571 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:54.003 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:55.014 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:56.017 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:56.592 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:56.593 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:57.025 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:58.036 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:59.054 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:59.606 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:59.615 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:00.069 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:01.080 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:02.100 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:02.631 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:02.631 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:03.111 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:04.130 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:05.145 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:05.671 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:05.673 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:06.157 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:07.185 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:08.219 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:08.728 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:08.731 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:09.240 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:10.253 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:11.279 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:11.772 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:11.774 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:12.306 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:13.319 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:14.338 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:14.792 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:14.793 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:15.352 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:16.372 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:17.374 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:17.823 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:17.823 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:18.397 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:19.421 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:20.414 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:20.842 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:20.843 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:21.417 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:22.423 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:23.450 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:23.853 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:23.861 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:24.470 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:25.500 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:26.531 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:26.881 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:26.882 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:27.552 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:28.561 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:29.587 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:29.901 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:29.901 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:30.610 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:31.636 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:32.657 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:32.930 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:32.931 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:33.668 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:34.661 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:35.678 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:35.956 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:35.957 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:36.699 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:37.714 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:38.740 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:38.991 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:38.992 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:39.760 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:40.768 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:41.777 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:42.021 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:42.022 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:42.795 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:43.813 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:44.832 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:45.064 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:45.065 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:45.845 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:46.855 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:47.872 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:48.099 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:48.100 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:48.895 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:49.918 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:50.939 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:51.131 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:51.133 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:51.949 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:52.970 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:53.979 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:54.178 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:54.181 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:54.979 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:55.987 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:56.995 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:57.194 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:57.195 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:29:58.014 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:29:59.032 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:00.050 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:00.244 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:00.245 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:01.055 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:02.075 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:03.095 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:03.257 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:03.258 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:04.126 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:05.144 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:06.167 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:06.287 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:06.287 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:07.183 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:08.193 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:09.223 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:09.325 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:09.326 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:10.242 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:11.265 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:12.276 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:12.366 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:12.369 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:13.291 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:14.295 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:15.320 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:15.389 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:15.390 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:16.329 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:17.340 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:18.350 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:18.426 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:18.427 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:19.365 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:20.391 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:21.414 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:21.452 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:21.453 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:22.426 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:23.448 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:24.452 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:24.456 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:24.484 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:25.467 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:26.490 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:27.463 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:27.507 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:27.512 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:28.525 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:29.548 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:30.476 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:30.519 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:30.565 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:31.574 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:32.586 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:33.491 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:33.536 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:33.616 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:34.621 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:35.651 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:36.514 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:36.558 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:36.682 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:37.703 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:38.732 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:39.529 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:39.557 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:39.742 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:40.764 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:41.790 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:42.543 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:42.573 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:42.803 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:43.821 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:44.830 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:45.580 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:45.581 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:45.856 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:46.873 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:47.893 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:48.620 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:48.622 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:48.907 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:49.928 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:50.945 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:51.623 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:51.654 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:30:51.965 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:52.976 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:30:53.984 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
