2026-05-26 06:39:01.089 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:16.322 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:16.323 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:16.323 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:16.324 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:16.332 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:16.359 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:17.381 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:17.566 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:17.567 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:17.568 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:18.391 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:19.363 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:19.363 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:19.364 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:19.365 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:19.365 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:19.416 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:20.428 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:20.594 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:20.595 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:20.595 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:21.445 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:22.429 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:22.430 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:22.431 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:22.431 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:22.432 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:22.447 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:23.470 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:23.659 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:23.660 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:23.660 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:24.494 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:25.488 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:25.489 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:25.489 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:25.491 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:25.493 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:25.504 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:26.514 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:26.677 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:26.677 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:26.678 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:27.525 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:28.530 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:28.537 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:28.538 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:28.539 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:28.540 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:28.541 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:29.542 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:29.706 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:29.707 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:29.709 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:30.556 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:31.576 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:31.576 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:31.577 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:31.582 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:31.584 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:31.584 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:32.610 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:32.735 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:32.736 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:32.737 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:33.618 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:34.630 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:34.643 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:34.645 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:34.646 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:34.647 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:34.648 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:35.651 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:35.800 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:35.802 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:35.803 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:36.676 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:37.686 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:37.707 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:37.708 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:37.710 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:37.710 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:37.711 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:38.718 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:38.815 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:38.815 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:38.821 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:39.740 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:40.727 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:40.728 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:40.735 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:40.736 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:40.736 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:40.751 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:41.762 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:41.862 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:41.863 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:41.864 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:42.791 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:43.755 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:43.756 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:43.761 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:43.762 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:43.762 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:43.797 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:44.816 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:44.896 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:44.897 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:44.898 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:45.841 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:46.789 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:46.789 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:46.797 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:46.798 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:46.799 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:46.875 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:47.903 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:47.928 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:47.929 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:47.929 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:48.933 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:49.828 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:49.829 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:49.829 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:49.830 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:49.830 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:49.955 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:50.956 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:50.957 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:50.957 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:50.963 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:51.982 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:52.884 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:52.885 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:52.886 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:52.887 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:52.888 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:53.014 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:53.985 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:53.986 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:53.986 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:54.040 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:55.059 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:55.951 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:55.951 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:55.952 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:55.954 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:55.955 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:56.089 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:57.028 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:57.029 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:57.030 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:57.088 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:58.096 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:58.992 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:58.993 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:58.993 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:58.994 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:58.994 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:59.110 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:00.061 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:00.062 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:00.063 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:00.126 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:01.134 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:02.051 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:02.052 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:02.052 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:02.054 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:02.054 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:02.154 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:03.106 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:03.107 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:03.107 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:03.184 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:04.193 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:05.092 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:05.093 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:05.094 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:05.095 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:05.108 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:05.196 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:06.145 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:06.146 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:06.147 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:06.207 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:07.222 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:40:08.157 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:40:08.159 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
